append_1k,ext4,nova,winefs,squirrelfs
,5.85,5.64,1.99,2.06
,5.8,5.51,2.02,2.1
,5.72,5.25,1.94,2.03
,5.75,5.59,2.0,2.1
,5.73,5.5,2.04,1.98
,5.78,5.26,1.9,2.05
,5.77,5.05,1.95,1.95
,5.75,5.01,2.29,2.04
,5.75,4.99,2.0,1.96
,5.71,4.98,1.91,1.95

append_16k,ext4,nova,winefs,squirrelfs
,16.81,10.0,9.29,12.65
,16.66,9.55,9.57,12.22
,16.7,9.4,9.3,12.59
,16.72,9.39,9.46,12.49
,16.72,9.29,9.18,12.28
,16.77,9.4,9.21,12.68
,16.75,9.37,9.48,12.38
,16.73,9.46,9.39,11.51
,16.63,9.31,9.34,12.55
,16.77,9.34,9.45,11.43

read_1k,ext4,nova,winefs,squirrelfs
,1.51,1.07,1.33,1.44
,1.57,0.87,1.29,1.44
,1.5,1.2,1.22,1.36
,1.53,1.01,1.22,1.45
,1.51,1.23,1.22,1.41
,1.52,0.84,1.27,1.42
,1.55,1.2,1.27,1.42
,1.52,1.29,1.22,1.41
,1.53,1.23,1.24,1.44
,1.5,0.91,1.28,1.39

read_16k,ext4,nova,winefs,squirrelfs
,4.61,4.53,5.5,10.52
,4.62,4.25,5.54,10.58
,4.64,4.19,5.53,10.47
,4.63,4.13,5.52,10.51
,4.61,4.49,5.47,10.39
,4.62,4.5,5.58,10.43
,4.62,4.27,5.5,10.62
,4.62,4.23,5.48,10.63
,4.63,4.18,5.5,10.35
,4.62,4.12,5.47,10.54

creat,ext4,nova,winefs,squirrelfs
,10.11,4.29,3.54,5.48
,9.98,4.22,3.42,5.49
,9.93,4.2,3.41,5.42
,9.84,4.16,3.48,5.47
,9.89,4.12,3.52,5.47
,9.89,4.17,3.44,5.41
,9.89,4.38,3.45,5.46
,9.84,4.76,3.45,5.51
,9.87,4.53,3.35,5.45
,9.84,4.34,3.44,5.48

mkdir,ext4,nova,winefs,squirrelfs
,17.61,7.94,5.12,5.1
,16.77,7.03,4.19,5.13
,16.6,5.47,3.81,5.01
,16.67,5.18,3.73,5.12
,16.55,5.16,3.99,5.14
,16.65,5.86,3.77,5.68
,16.57,5.36,3.69,5.86
,16.52,5.17,3.75,5.69
,16.5,5.09,3.78,5.64
,16.66,5.08,3.95,5.68

rename,ext4,nova,winefs,squirrelfs
,13.22,8.31,4.0,8.39
,13.03,8.52,4.01,8.47
,13.42,8.31,4.18,8.48
,13.45,8.24,3.95,8.5
,13.18,8.22,3.99,8.41
,12.62,8.26,3.95,8.44
,13.3,8.23,3.97,8.3
,13.17,8.18,4.21,8.59
,13.09,8.64,3.99,8.39
,13.21,8.46,4.03,8.45

unlink,ext4,nova,winefs,squirrelfs
,6.92,4.4,4.68,7.15
,7.04,4.36,4.69,7.65
,6.93,4.45,4.67,7.09
,6.99,4.41,4.82,7.18
,7.09,4.39,4.74,7.17
,6.92,4.47,4.66,7.23
,6.94,4.57,4.68,7.2
,7.07,4.72,4.67,7.34
,7.01,4.2,4.7,7.24
,6.98,4.51,4.63,7.32

