fillseqbatch,ext4,nova,winefs,arckfs,squirrelfs
,798486.0,859679.0,809687.0,829198.0,823976.0
,801498.0,857203.0,779259.0,838692.0,820470.0
,808464.0,853885.0,802188.0,815460.0,856574.0
,798162.0,849101.0,779486.0,854219.0,804269.0
,791978.0,849471.0,781542.0,821083.0,790189.0
,814906.0,854077.0,803820.0,856409.0,805411.0
,788399.0,838243.0,710290.0,855471.0,811181.0
,808949.0,806202.0,754288.0,850047.0,807141.0
,799754.0,851308.0,684914.0,857729.0,799787.0
,789295.0,828044.0,760998.0,859059.0,794051.0

fillrandbatch,ext4,nova,winefs,arckfs,squirrelfs
,355974.0,336187.0,337337.0,356369.0,334318.0
,362855.0,343543.0,337650.0,359558.0,344255.0
,365239.0,342205.0,343878.0,364197.0,339175.0
,363799.0,345070.0,339794.0,357382.0,341320.0
,357314.0,341619.0,266886.0,360572.0,302255.0
,353588.0,343618.0,348104.0,359409.0,346000.0
,362475.0,336855.0,341564.0,358741.0,337971.0
,353039.0,338362.0,338287.0,361317.0,343447.0
,346938.0,345899.0,335574.0,355489.0,347637.0
,350867.0,337882.0,334653.0,360668.0,361410.0

fillrandom,ext4,nova,winefs,arckfs,squirrelfs
,349467.0,281795.0,360997.0,384317.0,287933.0
,358215.0,289508.0,354611.0,377844.0,356136.0
,349950.0,358068.0,362008.0,303144.0,354695.0
,353835.0,349177.0,358466.0,385498.0,289689.0
,354504.0,356968.0,359017.0,386778.0,356475.0
,359211.0,286159.0,356451.0,366224.0,354991.0
,354427.0,287386.0,355298.0,358645.0,287122.0
,358772.0,356776.0,359434.0,361183.0,289998.0
,350777.0,344407.0,361523.0,365029.0,288654.0
,359460.0,343711.0,362313.0,367268.0,363757.0

