append_1k,ext4,nova,winefs,arckfs,squirrelfs
,6.03,6.88,2.82,82.53,2.03
,5.92,6.53,2.52,85.18,2.06
,5.93,5.88,2.46,82.77,2.01
,5.96,5.74,2.78,85.12,2.07
,5.91,6.96,2.51,86.19,1.98
,5.9,6.72,2.72,85.4,2.12
,5.98,6.53,2.82,85.61,2.08
,5.98,7.04,2.8,85.36,2.0
,5.94,6.97,2.79,85.41,2.04
,5.88,6.29,2.46,85.32,2.02

append_16k,ext4,nova,winefs,arckfs,squirrelfs
,18.7,11.86,11.29,90.15,12.44
,18.59,11.61,11.34,85.75,12.38
,18.96,11.66,11.76,85.57,12.37
,18.47,11.63,11.59,82.0,12.48
,18.7,11.54,11.76,83.06,11.9
,18.63,11.62,11.55,82.26,12.78
,18.66,11.86,11.71,81.87,12.54
,18.61,11.74,11.89,83.63,12.35
,18.63,11.96,11.41,81.84,12.09
,18.95,11.65,11.24,81.76,12.53

read_1k,ext4,nova,winefs,arckfs,squirrelfs
,1.67,1.07,1.6,2.11,1.34
,1.63,1.15,1.54,2.12,1.35
,1.65,1.01,1.51,2.1,1.33
,1.63,0.89,1.49,2.1,1.35
,1.66,1.13,1.46,2.1,1.38
,1.66,1.14,1.53,2.11,1.34
,1.61,1.06,1.55,2.11,1.29
,1.62,1.12,1.48,2.13,1.33
,1.65,1.11,1.42,2.12,1.37
,1.64,1.06,1.49,2.12,1.36

read_16k,ext4,nova,winefs,arckfs,squirrelfs
,9.87,9.73,10.93,5.78,10.4
,9.99,9.52,11.1,5.76,10.46
,9.98,9.46,10.83,5.78,10.33
,9.95,9.48,11.12,5.75,10.46
,9.88,9.42,11.06,5.76,10.33
,9.89,9.51,11.14,5.75,10.39
,9.97,10.01,11.08,5.85,10.32
,9.83,10.04,11.12,5.8,10.66
,9.88,9.91,10.81,5.86,10.41
,9.9,9.77,10.81,5.84,10.36

creat,ext4,nova,winefs,arckfs,squirrelfs
,9.89,5.17,4.08,0.92,5.16
,9.8,5.44,4.15,0.91,5.16
,9.7,5.5,4.34,0.93,5.16
,9.73,5.41,4.03,0.91,5.21
,9.79,5.31,4.09,0.92,5.2
,9.74,5.28,4.08,0.93,5.11
,9.67,5.31,4.1,0.92,5.19
,9.72,5.31,4.01,0.91,5.18
,9.74,5.19,4.12,0.92,5.16
,9.63,5.4,4.12,0.91,5.19

mkdir,ext4,nova,winefs,arckfs,squirrelfs
,17.38,9.34,6.09,24.7,5.54
,16.64,6.96,5.0,24.5,5.44
,16.65,8.09,4.68,24.56,5.44
,16.61,7.43,4.65,24.48,5.44
,16.53,7.57,4.66,24.59,5.45
,16.47,7.56,4.64,24.62,5.46
,16.42,8.08,4.62,24.59,5.77
,16.61,7.91,4.57,24.61,5.42
,16.48,6.78,4.57,24.42,5.46
,16.44,7.38,4.64,24.46,5.43

rename,ext4,nova,winefs,arckfs,squirrelfs
,12.37,10.46,5.19,1.07,8.68
,12.31,10.43,5.17,1.07,8.69
,12.5,10.25,5.16,1.06,8.57
,12.28,9.99,5.2,1.05,8.68
,12.43,10.02,5.15,1.07,8.93
,12.29,10.28,5.21,1.06,8.7
,12.25,10.31,5.17,1.04,8.79
,12.3,10.44,5.19,1.04,8.63
,12.22,10.36,5.19,1.05,8.6
,12.34,10.33,5.22,1.08,8.71

unlink,ext4,nova,winefs,arckfs,squirrelfs
,6.85,6.08,6.99,4.97,7.13
,6.89,6.24,6.87,4.99,7.12
,6.77,6.19,7.12,4.94,7.09
,6.85,5.88,6.93,4.96,7.12
,6.89,6.06,6.95,4.93,7.06
,6.95,6.09,7.0,4.92,7.09
,6.83,6.11,6.88,5.01,7.18
,6.88,6.02,6.95,4.97,6.96
,6.91,5.89,6.97,4.95,7.1
,6.79,6.13,7.05,4.99,7.07

