Loada,ext4,nova,winefs,squirrelfs
,44238.7,63440.34,68729.28,124559.06
,42480.23,69248.24,68962.85,134821.04
,41687.23,64333.5,67517.02,148779.41
,43994.64,74833.94,77057.99,118112.84
,48802.58,71203.97,66993.77,113708.21

Runa,ext4,nova,winefs,squirrelfs
,43337.55,35664.92,35383.1,47380.16
,45701.42,32726.24,35385.15,45635.26
,47766.44,33446.7,34681.09,46409.66
,45199.05,31423.81,34807.36,47984.28
,42603.74,32379.14,35376.54,48738.07

Runb,ext4,nova,winefs,squirrelfs
,145353.91,131974.87,130636.99,145663.03
,150446.53,137692.49,146090.33,157354.43
,135484.47,130295.88,141945.45,151071.09
,140140.03,144515.35,146179.17,149204.74
,134697.55,135417.68,141496.35,144256.85

Runc,ext4,nova,winefs,squirrelfs
,199424.06,182065.79,214795.09,206405.17
,191236.77,194150.63,183353.01,202188.49
,160385.95,192532.81,197389.72,190998.62
,212579.61,177119.05,191162.19,211241.42
,191449.12,170443.7,199616.74,188703.46

Rund,ext4,nova,winefs,squirrelfs
,283363.18,283642.88,291711.88,311018.77
,284864.58,278815.59,301772.01,303283.96
,274604.57,275582.31,291984.44,302348.64
,300672.3,286008.47,296387.63,317512.73
,296538.8,280460.85,303324.44,295152.42

Loade,ext4,nova,winefs,squirrelfs
,42919.93,60937.86,67032.58,122399.02
,42658.77,69372.76,74505.88,124285.36
,43193.63,71735.39,70008.2,119297.58
,44183.74,69493.48,72926.69,145029.27
,43661.33,71271.77,72619.32,132963.16

Rune,ext4,nova,winefs,squirrelfs
,28747.49,24859.69,25152.17,26674.29
,28596.33,24210.5,24273.73,26980.18
,29614.29,23820.78,24239.09,27222.56
,29093.52,24312.44,24351.5,25980.13
,28915.17,24344.59,24968.12,26555.4

Runf,ext4,nova,winefs,squirrelfs
,55774.07,51190.07,53603.32,69523.24
,54987.72,52589.62,53943.72,67010.3
,57464.4,51488.85,51981.0,67433.98
,56971.36,50836.88,53342.66,70466.2
,55478.01,50730.93,53679.17,69536.77

